user_id,session_id,actions,product_id,price,event_time,user_agent
10087,124889cc-0ce4-4c50-8ec9-fcce95284e72,purchase,176,338.77,2025-05-01T19:33:32.916991,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10195,47ee7f13-a0cb-4a46-96e7-03639d6f43cc,view,124,,2025-05-01T19:33:32.917136,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10049,1295ece1-6fd1-4a5c-b6a6-ca1b40d7ce1e,view,129,,2025-05-01T19:33:32.917201,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10105,55676dfc-4771-44e0-80f9-87ee166cdb35,purchase,171,94.14,2025-05-01T19:33:32.917255,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10146,72074a6f-362d-46fa-aae6-697e1354bc05,purchase,167,351.37,2025-05-01T19:33:32.917307,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10127,c7d8d712-d1f3-4754-ae4c-5246b42a1076,purchase,108,5.79,2025-05-01T19:33:32.917356,Mozilla/5.0 (Linux; Android 10)
10119,2192bde2-b71b-4d29-93a0-0df5da8f0e42,view,154,,2025-05-01T19:33:32.917399,Mozilla/5.0 (Linux; Android 10)
10113,ca427b5a-f603-4670-b0ef-6c04952953b5,view,114,,2025-05-01T19:33:32.917441,Mozilla/5.0 (Linux; Android 10)
10111,4fa2ad9d-d70e-46a5-9f7c-d029fc960368,view,121,,2025-05-01T19:33:32.917482,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10002,0b72fa89-4fb0-40ef-abe1-439e08276653,view,164,,2025-05-01T19:33:32.917526,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10078,27d41d99-2358-49c0-be95-c80505961987,purchase,180,255.64,2025-05-01T19:33:32.917571,Mozilla/5.0 (Linux; Android 10)
10122,95942b1e-b8be-4793-a98b-2d5236be3e21,purchase,182,398.63,2025-05-01T19:33:32.917618,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10063,3807e715-ebf7-4da8-a1ae-a7cf2ed7a5c6,purchase,131,226.85,2025-05-01T19:33:32.917666,Mozilla/5.0 (Linux; Android 10)
