user_id,session_id,actions,product_id,price,event_time,user_agent
10038,3a11859f-80d9-4cf0-9c3e-cc912339edf5,view,173,,2025-05-09T12:35:58.300816,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
10192,33aeea33-9217-4b48-9e04-c7ddf5f358d8,view,102,,2025-05-09T12:35:58.300857,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10109,2f6afcf9-7269-483a-89bb-856960de0c38,view,104,,2025-05-09T12:35:58.300886,Mozilla/5.0 (Linux; Android 10)
10194,872da442-8d68-4b7a-8b5a-c3505df638b5,view,180,,2025-05-09T12:35:58.300903,Mozilla/5.0 (Linux; Android 10)
10038,bfeb37fa-1aa3-4c65-aab7-bd7e6d3f66cc,purchase,197,414.67,2025-05-09T12:35:58.300923,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10093,0c043702-5809-4ada-afc4-605efd492d0c,purchase,183,202.03,2025-05-09T12:35:58.300943,Mozilla/5.0 (Linux; Android 10)
10099,f420fb3b-88d8-435d-844b-8e596ab1a0ee,view,128,,2025-05-09T12:35:58.300958,Mozilla/5.0 (Linux; Android 10)
10114,76d17b31-e937-4899-911f-30cd9c0f0d28,view,150,,2025-05-09T12:35:58.300986,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10121,23d578fa-a2a8-44d1-af85-9881071750f6,purchase,116,258.83,2025-05-09T12:35:58.301001,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10038,739a6b2b-f72d-4a96-95d2-989b714a3730,view,131,,2025-05-09T12:35:58.301016,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10198,626338b6-d787-48ab-a6ec-3ea7923753ff,view,133,,2025-05-09T12:35:58.301031,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10049,a0061ef4-5338-41ea-897b-b9792a3cc7c1,purchase,190,480.5,2025-05-09T12:35:58.301046,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10027,37ed0c6f-5045-44ab-bd16-f934a977a3d9,purchase,121,420.28,2025-05-09T12:35:58.301062,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10175,8eca6e47-f3cf-48e0-ad8e-ec5a04d0d72e,view,170,,2025-05-09T12:35:58.301077,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10176,5969efd7-2a8b-4290-9ab9-3ca13311ba63,view,192,,2025-05-09T12:35:58.301091,Mozilla/5.0 (Linux; Android 10)
10011,31cdb348-4df2-430e-9abd-a58581fe5bd4,view,152,,2025-05-09T12:35:58.301105,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10035,62c419e7-8183-45d9-a031-3501c9d0fdbc,view,180,,2025-05-09T12:35:58.301119,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
