user_id,session_id,actions,product_id,price,event_time,user_agent
10098,476055d0-47e0-4ac8-b49b-5a3bc10b9ddf,view,113,,2025-05-18T19:53:25.691621,Mozilla/5.0 (Linux; Android 10)
10133,6f138ca0-b538-4a4f-8c30-0e136b0df859,purchase,150,455.59,2025-05-18T19:53:25.691670,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10164,91cedda1-d37d-4758-ae47-f03ebc34f47c,purchase,161,391.9,2025-05-18T19:53:25.691704,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10193,b7789f2e-2e4f-4cdf-bf38-693792fd071b,view,128,,2025-05-18T19:53:25.691733,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
10032,f6e59254-eef0-45d1-a1d2-0f9b0ef22ed1,purchase,118,347.66,2025-05-18T19:53:25.691761,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10167,03b31c59-d3de-43e0-88ca-bceee99e40e3,purchase,159,83.42,2025-05-18T19:53:25.691791,Mozilla/5.0 (Linux; Android 10)
10031,d464ad34-1f89-4946-8480-772d0e85bdf6,view,135,,2025-05-18T19:53:25.691815,Mozilla/5.0 (Linux; Android 10)
10036,43f69587-0310-4ccf-b01c-db590b684893,purchase,191,215.77,2025-05-18T19:53:25.691840,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10185,2c672b7e-c1ac-4450-9ee8-5fc3b2c27fd9,purchase,169,164.6,2025-05-18T19:53:25.691869,Mozilla/5.0 (Linux; Android 10)
10149,d2b45024-68d4-42d9-816a-d04ae822b4cc,purchase,170,238.36,2025-05-18T19:53:25.691889,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
10066,d3797927-4ad4-4c58-980e-27dbb9469c60,view,112,,2025-05-18T19:53:25.691907,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10181,4c79dd44-b8e3-49b9-9a45-d09f6858bbcc,view,132,,2025-05-18T19:53:25.691928,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10126,383d1fe6-82e2-4c50-b0f0-14ba23edc500,purchase,153,451.99,2025-05-18T19:53:25.691944,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
10030,c118e454-48b6-4c2e-8a16-61555c69133d,purchase,180,214.78,2025-05-18T19:53:25.691960,Mozilla/5.0 (Linux; Android 10)
10135,d7361703-be38-42ab-8151-bcb8efaf2ee0,purchase,114,395.4,2025-05-18T19:53:25.691976,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
