user_id,session_id,actions,product_id,price,event_time,user_agent
10164,6897900a-2e8c-496b-857d-3da6128d17f5,purchase,192,427.84,2025-05-09T13:46:54.859977,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10065,30436062-c2e6-4215-88c7-5bad9b14146a,purchase,122,208.02,2025-05-09T13:46:54.860014,Mozilla/5.0 (Linux; Android 10)
10186,4440da57-1bb3-42bd-9e0b-151785b77892,purchase,175,436.64,2025-05-09T13:46:54.860036,Mozilla/5.0 (Linux; Android 10)
10073,90cd70f1-174f-4367-b558-31dbffdd1192,purchase,127,198.6,2025-05-09T13:46:54.860064,Mozilla/5.0 (Linux; Android 10)
10104,3da4ce60-44a9-4e14-83b9-d384bc815dd5,view,147,,2025-05-09T13:46:54.860091,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10033,5f845ccd-dc76-404a-b20e-6d907c3ca736,view,146,,2025-05-09T13:46:54.860118,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10172,9fc307bc-ce54-43e9-9915-cc4fd0e5e5ec,purchase,103,276.5,2025-05-09T13:46:54.860137,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
10037,9705e94d-336e-4aa7-bb43-54ed9c7e5334,purchase,157,345.85,2025-05-09T13:46:54.860154,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
10162,1630efd9-e446-4ef1-a34f-4acac7ec3026,view,152,,2025-05-09T13:46:54.860176,Mozilla/5.0 (Linux; Android 10)
10042,545e9a1f-7285-4f23-9d7f-3b7da2c0dbe8,view,174,,2025-05-09T13:46:54.860200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10114,05da5af1-58b1-49bf-a969-92ac40abc9f3,view,192,,2025-05-09T13:46:54.860226,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10082,ed71f229-1259-4114-8747-3f1d2220c100,purchase,163,370.17,2025-05-09T13:46:54.860244,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10104,d63ef843-9bb1-4b9e-8a66-8ac1ceeab48e,purchase,192,438.34,2025-05-09T13:46:54.860261,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
10108,c8d7e446-1215-4fae-a8c8-aa78864299fe,view,199,,2025-05-09T13:46:54.860275,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
10136,6306d8e7-d976-4d50-bf4a-6ff147a1d738,purchase,194,331.1,2025-05-09T13:46:54.860298,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10136,acc1d5a3-27d2-4bf8-bc91-0dad31af4eaf,view,190,,2025-05-09T13:46:54.860323,Mozilla/5.0 (Linux; Android 10)
10165,0dbbdd35-2ff4-47a9-a7e2-e5f97f250242,purchase,127,480.17,2025-05-09T13:46:54.860351,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10008,661c6d89-9d58-4be1-8506-cd1e475b771f,view,195,,2025-05-09T13:46:54.860376,Mozilla/5.0 (Linux; Android 10)
10089,93bfa194-3297-4d0f-9a82-feb926db3668,view,163,,2025-05-09T13:46:54.860391,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
10158,2b557ac9-f4dc-451c-83da-6b3a7f66c495,purchase,130,217.81,2025-05-09T13:46:54.860406,Mozilla/5.0 (Linux; Android 10)
10100,923ac408-9139-4406-9f93-58ff64d343b1,view,172,,2025-05-09T13:46:54.860429,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10070,b17d67a4-734b-42d7-a20b-c9d76970a677,view,112,,2025-05-09T13:46:54.860452,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
