user_id,session_id,actions,product_id,price,event_time,user_agent
10189,2575a423-64bf-45f7-b650-d149f5631d8a,purchase,114,167.96,2025-05-09T12:56:35.406783,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10196,c51c5561-e8a1-44cb-bc55-18418fa54211,purchase,120,125.78,2025-05-09T12:56:35.406825,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10003,2339fec6-2ce6-40ff-ba0b-834052447d53,view,146,,2025-05-09T12:56:35.406857,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
10074,9903e6c0-b8c2-4d48-a242-fdc9dd3d5345,view,102,,2025-05-09T12:56:35.406882,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
10031,d186df08-3ab4-40f7-b3ac-68a46ffbff0c,purchase,120,415.5,2025-05-09T12:56:35.406904,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10122,f28e5db9-660c-4680-b4fa-36f5b9e38b50,view,153,,2025-05-09T12:56:35.406925,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10193,428b0f30-8f3b-403b-ab35-3048ad77f17d,view,155,,2025-05-09T12:56:35.406944,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10178,cf6728d4-ecf5-4ec9-a54b-89786b506b7d,purchase,173,437.67,2025-05-09T12:56:35.406964,Mozilla/5.0 (Linux; Android 10)
10079,b1150a13-e78d-4256-9da7-069cc05237de,view,116,,2025-05-09T12:56:35.406985,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10033,b3004342-c772-42bf-8644-0af3dc88c078,view,111,,2025-05-09T12:56:35.407003,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10174,071f3c8e-7d22-4282-8c88-58cc2a3dce22,purchase,113,435.55,2025-05-09T12:56:35.407024,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10169,749f3210-4a69-44a2-bbff-798ba4734361,view,118,,2025-05-09T12:56:35.407053,Mozilla/5.0 (Linux; Android 10)
10086,f4831c12-a83b-48b4-a163-2a16fd007d57,purchase,107,174.43,2025-05-09T12:56:35.407126,Mozilla/5.0 (Linux; Android 10)
10136,ad11b2e8-e373-491e-8bd9-0e916181e4ff,view,145,,2025-05-09T12:56:35.407158,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10048,7341d494-8842-4a7f-8c15-e7badc3d2922,purchase,128,222.54,2025-05-09T12:56:35.407181,Mozilla/5.0 (Linux; Android 10)
