user_id,session_id,actions,product_id,price,event_time,user_agent
10012,02a8cabc-7dfd-4af4-876b-5981ddd207c6,view,139,,2025-05-09T09:29:24.933249,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10009,6fc08b68-e0ac-4070-9759-998abdb742a3,purchase,122,471.28,2025-05-09T09:29:24.933301,Mozilla/5.0 (Linux; Android 10)
10072,8b15ae5d-1825-4afb-ba4e-377b718355bb,purchase,102,298.28,2025-05-09T09:29:24.933338,Mozilla/5.0 (Linux; Android 10)
10009,18a1cc4b-6bcf-4e2e-871c-a877bc97529c,purchase,130,227.04,2025-05-09T09:29:24.933368,Mozilla/5.0 (Linux; Android 10)
10086,e228c9ae-0edf-48c1-ac29-46e02cc51f57,purchase,143,241.2,2025-05-09T09:29:24.933398,Mozilla/5.0 (Linux; Android 10)
10146,12135323-3e62-4e4a-8c81-ddb30bb79b5c,purchase,198,448.42,2025-05-09T09:29:24.933427,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10144,471a1023-d18b-4726-9291-36ffef5cdc62,view,122,,2025-05-09T09:29:24.933454,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10191,02f569ed-68db-4cdf-a8c3-d80e71bc8dc8,purchase,173,435.51,2025-05-09T09:29:24.933483,Mozilla/5.0 (Linux; Android 10)
10095,a76e8b64-7849-4cf0-b6ee-be42bf314cf1,view,179,,2025-05-09T09:29:24.933510,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10141,a4b50dc5-afc5-432b-94a1-239a7e57b2e2,purchase,165,150.92,2025-05-09T09:29:24.933537,Mozilla/5.0 (Linux; Android 10)
10075,335dacb1-3e51-4925-a05a-199c2a20628c,view,183,,2025-05-09T09:29:24.933564,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10192,ce9c6f5d-3ef4-49b2-8317-7cea085514cd,view,100,,2025-05-09T09:29:24.933589,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10149,811a88aa-2a10-4f55-9019-4f0d1e4eca06,view,148,,2025-05-09T09:29:24.933613,Mozilla/5.0 (Linux; Android 10)
