user_id,session_id,actions,product_id,price,event_time,user_agent
10150,03ff9c5c-424a-488d-9f41-b1cd01d461e2,view,150,,2025-05-01T18:46:27.518415,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
10112,fa68382e-c517-435b-8651-c1d5bd986f53,purchase,197,51.27,2025-05-01T18:46:27.518546,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
10047,91c1739d-2420-430c-b767-5573f7f20214,purchase,132,316.49,2025-05-01T18:46:27.518639,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
10026,c748252e-0718-4944-9f35-e4a04edbdca7,purchase,113,356.15,2025-05-01T18:46:27.518719,Mozilla/5.0 (Linux; Android 10)
10132,5b05203f-7739-4aa8-9193-8100a2cb4dc2,view,137,,2025-05-01T18:46:27.518791,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10117,0a1f03ee-fce4-448f-bd9a-61af786c6e30,purchase,184,123.07,2025-05-01T18:46:27.519002,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10130,e06ae11e-79a8-4c92-b8bf-5ec96e90f2d7,purchase,147,49.39,2025-05-01T18:46:27.519112,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10106,81178f99-1e9c-47ab-b671-f4cde0fcf09f,purchase,118,67.26,2025-05-01T18:46:27.519194,Mozilla/5.0 (Linux; Android 10)
10112,accc1557-860b-4931-b432-fe2c5bc872c6,view,114,,2025-05-01T18:46:27.519267,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10156,e26e2fb4-a926-4811-84d2-3b7883413cd8,view,103,,2025-05-01T18:46:27.519334,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10109,7377bfe7-7a0a-4f84-a336-357a978faeaf,view,119,,2025-05-01T18:46:27.519400,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10079,64696d7d-c980-4014-a31b-75be7e343714,view,167,,2025-05-01T18:46:27.519466,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10063,8a31ece5-0321-4d31-8ff7-6a8c64eb7b7b,purchase,166,453.97,2025-05-01T18:46:27.519535,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10161,93cd3fe1-12f2-4c91-a3fe-8942a581e09a,view,150,,2025-05-01T18:46:27.519609,Mozilla/5.0 (Linux; Android 10)
10009,5fbc82fa-eefb-4b8b-93e8-ac72db02872f,view,123,,2025-05-01T18:46:27.519701,Mozilla/5.0 (Linux; Android 10)
10065,30f3b57d-34a5-44ec-9f9c-1cf851efd072,view,125,,2025-05-01T18:46:27.519817,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10079,ae90c0d5-bb64-425b-ad30-b20d40c0f19f,view,183,,2025-05-01T18:46:27.519932,Mozilla/5.0 (Linux; Android 10)
10134,9127c9c1-fe84-40ab-a5f4-11f65506fd99,purchase,145,455.8,2025-05-01T18:46:27.520013,Mozilla/5.0 (Linux; Android 10)
10123,6dfec280-db60-42b5-ac6b-962b65af616b,view,193,,2025-05-01T18:46:27.520086,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10026,0f6ee187-9210-43ad-88be-f540f2253342,purchase,194,84.28,2025-05-01T18:46:27.520158,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10129,2a85a05d-405b-42ff-b716-9a1da6cd3dd6,purchase,179,30.08,2025-05-01T18:46:27.520234,Mozilla/5.0 (Linux; Android 10)
10006,b6da9070-edcd-4fa5-9c0f-51eda75b3ab3,view,188,,2025-05-01T18:46:27.520302,Mozilla/5.0 (Linux; Android 10)
10186,02d524e1-7ef8-4b74-bd70-8595c6252839,purchase,180,20.25,2025-05-01T18:46:27.520371,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10112,8381de0a-7cf8-4aa6-af7e-a9d051ed0414,purchase,156,461.48,2025-05-01T18:46:27.520454,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10144,79f9bc1f-4237-4b64-aebc-5c507cb40429,view,141,,2025-05-01T18:46:27.520565,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
