user_id,session_id,actions,product_id,price,event_time,user_agent
10066,c0321209-b2a9-4dc1-a3dc-37beca7e1fa2,view,188,,2025-05-09T13:48:55.041571,Mozilla/5.0 (Linux; Android 10)
10070,a9c6a25f-e20b-4afc-91ca-ae467213c741,view,196,,2025-05-09T13:48:55.041611,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10146,bc16c90a-15ae-4f8c-b786-1c6ccbe59f96,purchase,137,17.99,2025-05-09T13:48:55.041648,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10180,bad1c958-5f7d-4141-89f7-f82222eb63c4,purchase,110,303.32,2025-05-09T13:48:55.041671,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10158,54ddc438-6647-4f71-ae13-fcfa08fabdf1,view,135,,2025-05-09T13:48:55.041688,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10067,2ebaa1cd-db36-4f1a-a151-c404a9cc55ac,view,132,,2025-05-09T13:48:55.041703,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10198,fdc3704b-3324-43f6-8005-627e2620ff85,view,185,,2025-05-09T13:48:55.041723,Mozilla/5.0 (Linux; Android 10)
10009,1c6d3cf0-b1df-45ce-854a-ff97e2cd125b,purchase,185,189.21,2025-05-09T13:48:55.041750,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10049,82b77b67-48e6-45d9-9caa-890a8282cf1f,purchase,151,178.15,2025-05-09T13:48:55.041781,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10084,8195a006-f9f6-40ef-9770-724bc1d71454,purchase,118,35.85,2025-05-09T13:48:55.041812,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
